Age,EdLevel,Employment,YearsOfExperience,Income
29,1,1,4,16700
22,2,1,1,11800
24,2,1,2,13300
29,1,1,2,15700
44,2,1,20,32300
45,1,1,22,33700
24,1,1,2,13200
23,1,1,0,11700
32,1,1,6,19200
23,1,0.5,0,11650
50,2,1,22,36300
20,1,0.5,0,10150
35,1,1,11,23200
35,2,1,15,25300
26,1,1,6,16200
59,1,1,20,39700
29,1,1,3,16200
25,1,0.5,0,12650
25,1,1,3,14200
35,2,1,15,25300
23,1,1,4,13700
28,2,1,6,17300
27,1,1,6,16700
44,2,1,19,31800
32,1,1,12,22200
29,2,1,7,18300
23,1,1,2,12700
53,3,1,30,41900
62,1,1,38,50200
37,2,1,10,23800
32,2,1,7,19800
33,1,1,8,20700
51,2,1,5,28300
44,1,1,15,29700
22,1,1,1,11700
32,2,1,6,19300
21,1,1,2,11700
26,1,1,4,15200
32,2,1,5,18800
43,1,1,24,33700
28,1,1,3,15700
39,1,1,10,24700
40,2,1,15,27800
28,1,1,2,15200
45,2,1,19,32300
28,2,1,2,15300
52,1,1,30,41200
40,1,1,14,27200
31,1,1,12,21700
27,1,1,4,15700
24,1,1,2,13200
42,2,1,15,28800
32,1,1,11,21700
48,2,1,23,35800
52,1,1,21,36700
24,1,1,2,13200
24,1,1,1,12700
41,1,1,19,30200
59,2,1,30,44800
30,1,1,8,19200
46,2,1,20,33300
48,2,1,16,32300
49.5,1,1,26,37950
24,1,1,3,13700
26,2,1,2,14300
48,1,1,25,36700
29,1,1,10,19700
37,1,0,0,18600
32,1,1,9,20700
30,1,1,5,17700
37,1,1,15,26200
32,1,1,6,19200
39,2,1,1,20300
35,1,1,11,23200
24,1,1,1,12700
27,1,1,6,16700
33,3,1,2,17900
46,2,1,10,28300
26,1,1,3,14700
34,1,1,7,20700
27,2,1,4,15800
27,1,1,5,16200
29,1,1,0,14700
25,1,1,2,13700
23,1,1,1,12200
25,1,1,3,14200
27,1,1,6,16700
28,1,1,7,17700
36,1,1,15,25700
40,1,1,23,31700
23,2,0.5,0,11750
29,1,1,7,18200
28,1,1,7,17700
37,1,1,16,26700
36,2,1,5,20800
33,1,1,7,20200
40,2,1,20,30300
29,2,1,9,19300
26,1,1,3,14700
38,2,1,6,22300
26,1,1,3,14700
30,1,1,9,19700
43,2,1,20,31800
26,1,1,4,15200
44,1,1,12,28200
40,1,1,18,29200
34,1,1,20,27200
34,2,1,4,19300
21,1,0.5,0,10650
33,2,1,10,21800
27,1,1,5,16200
23,1,1,0,11700
38,1,1,17,27700
24,1,1,2,13200
47,2,1,22,34800
38,1,1,7,22700
40,2,1,16,28300
38,1,1,13,25700
31,1,1,8,19700
34,1,1,13,23700
45,1,1,26,35700
26,2,1,4,15300
43,1,1,20,31700
27,1,1,4,15700
37,1,1,15,26200
24,1,1,3,13700
37,1,1,8,22700
24,1,1,1,12700
22,1,1,4,13200
24,1,1,5,14700
25,1,1,4,14700
31,1,1,9,20200
31,2,1,6,18800
41,2,1,20,30800
27,1,1,10,18700
38,2,1,15,26800
26,1,1,0,13200
22,1,1,0,11200
35,1,1,12,23700
26,1,1,5,15700
37,3,1,3,20400
42,2,1,20,31300
23,1,1,2,12700
43,2,1,20,31800
22,1,0.5,0,11150
25,2,1,5,15300
26,2,0.5,0,13250
21,1,0.5,0,10650
23,1,1,2,12700
28,2,1,4,16300
25,1,1,3,14200
41,1,1,14,27700
28,1,1,6,17200
24,1,1,3,13700
31,1,1,7,19200
60,1,1,40,50200
30,1,0,0,15100
33,1,1,3,18200
24,1,1,2,13200
46,1,1,16,31200
49,1,1,27,38200
34,1,1,13,23700
27,1,0,0,13600
29,1,1,3,16200
24,1,1,3,13700
24,1,1,2,13200
32,2,1,8,20300
40,2,1,13,26800
31,1,1,5,18200
41,1,1,15,28200
41,1,1,12,26700
34,1,1,13,23700
52,2,1,26,39300
24,1,1,1,12700
22,1,1,3,12700
32,1,1,8,20200
36,2,1,1,18800
30,2,1,10,20300
31,1,1,8,19700
22,1,1,2,12200
34,1,1,14,24200
30,1,1,6,18200
27,2,1,0,13800
35,1,1,4,19700
36,1,1,18,27200
34,3,1,3,18900
31,1,1,10,20700
25,1,1,7,16200
50,1,1,24,37200
25,2,1,2,13800
33,1,1,5,19200
30,1,1,5,17700
46,3,1,1,23900
36,1,1,7,21700
40,2,1,20,30300
35,3,1,8,21900
26,2,1,2,14300
32,3,1,7,19900
23,1,1,1,12200
43,1,1,21,32200
32,1,1,9,20700
33,1,1,15,24200
24,1,1,4,14200
25,1,1,2,13700
40,1,1,18,29200
26,1,1,4,15200
34,2,1,13,23800
37,1,1,15,26200
27,2,1,6,16800
22,1,1,2,12200
24,1,1,0,12200
28,2,1,2,15300
41,2,1,14,27800
32,1,1,6,19200
32,1,1,8,20200
25,1,1,5,15200
28,1,1,6,17200
19,1,0.5,0,9650
29,2,1,4,16800
53,1,1,30,41700
49,2,1,25,37300
38,1,1,17,27700
35,1,1,10,22700
28,2,1,4,16300
52,1,1,30,41200
41,1,1,19,30200
27,1,1,3,15200
57,3,1,31,44400
38,1,1,21,29700
37,3,1,11,24400
37,1,1,16,26700
31,2,1,8,19800
27,1,1,5,16200
49,1,1,25,37200
30,1,1,5,17700
40,1,1,3,21700
34,1,1,5,19700
27,2,1,4,15800
39,1,1,8,23700
25,2,1,2,13800
33,1,1,3,18200
31,2,1,5,18300
29,1,1,6,17700
30,1,1,8,19200
36,2,1,9,22800
37,1,1,7,22200
27,2,1,5,16300
37,2,1,12,24800
27,2,1,6,16800
26,1,1,3,14700
25,1,0.5,0,12650
35,1,1,10,22700
49,1,1,21,35200
34,2,1,10,22300
21,1,0.5,0,10650
37,1,1,15,26200
25,1,1,3,14200
35,2,1,12,23800
28,1,1,7,17700
46,2,1,23,34800
27,1,0.5,0,13650
25,1,1,2,13700
26,1,1,4,15200
53,1,1,22,37700
32,3,1,7,19900
25,1,1,2,13700
36,3,1,13,24900
22,1,1,0,11200
35,1,1,13,24200
32,1,1,5,18700
32,2,1,10,21300
22,1,0.5,0,11150
24,1,1,0,12200
33,1,1,11,22200
35,2,1,9,22300
24,1,0,0,12100
57,1,1,35,46200
31,2,1,5,18300
29,1,1,9,19200
31,1,1,7,19200
24,1,1,4,14200
48,1,1,24,36200
56,3,1,30,43400
28,2,1,2,15300
31,3,1,17,24400
24,1,1,3,13700
33,1,1,2,17700
27,2,0.5,0,13750
25,2,1,5,15300
54,2,1,20,37300
41,3,1,12,26900
49,3,1,20,34900
28,2,1,5,16800
39,1,1,2,20700
27,1,1,4,15700
37,2,1,7,22300
30,1,1,8,19200
50,1,1,0,25200
32,3,1,14,23400
33,3,1,10,21900
29,2,1,2,15800
23,1,1,2,12700
25,1,1,0,12700
26,2,1,2,14300
28,1,1,7,17700
51,1,1,32,41700
70,3,1,50,60400
26,1,1,1,13700
36,1,1,15,25700
36,2,1,6,21300
30,1,1,8,19200
62,1,1,40,51200
45,2,1,20,32800
23,1,1,5,14200
24,1,0.5,0,12150
24,1,1,2,13200
24,1,1,3,13700
27,1,1,4,15700
22,1,1,2,12200
26,1,1,5,15700
50,1,1,20,35200
24,1,1,5,14700
30,1,1,13,21700
39,1,1,8,23700
34,2,1,11,22800
33,3,1,5,19400
36,1,1,15,25700
30,1,1,2,16200
45,2,1,25,35300
40,1,1,20,30200
23,1,1,2,12700
43,1,1,23,33200
32,1,1,11,21700
24,1,1,3,13700
32,2,1,8,20300
35,1,1,10,22700
35,2,1,1,18300
56,1,1,33,44700
24,2,0,0,12200
24,1,1,4,14200
41,2,1,13,27300
21,1,0.5,0,10650
45,1,1,25,35200
32,2,1,2,17300
27,1,1,6,16700
51,1,1,26,38700
53,1,1,30,41700
28,2,1,3,15800
34,3,1,6,20400
27,1,1,4,15700
28,2,1,4,16300
26,2,1,2,14300
26,1,1,5,15700
23,1,1,2,12700
39,1,1,15,27200
34,1,1,10,22200
29,3,1,6,17900
28,1,1,7,17700
26,1,1,4,15200
28,1,1,8,18200
25,1,1,3,14200
43,1,1,20,31700
30,1,1,3,16700
41,1,1,19,30200
61,1,1,38,49700
40,1,1,2,21200
29,2,1,6,17800
43,1,1,22,32700
21,1,1,3,12200
45,2,1,25,35300
25,1,1,2,13700
45,2,1,17,31300
36,1,1,8,22200
32,1,1,10,21200
42,1,1,20,31200
38,1,1,18,28200
28,3,1,6,17400
37,1,1,14,25700
23,1,1,0,11700
34,2,1,12,23300
39,2,1,5,22300
45,1,1,24,34700
25,1,1,4,14700
51,1,0,0,25600
29,1,1,0,14700
42,2,1,19,30800
25,1,1,1,13200
37,2,1,14,25800
32,3,1,5,18900
27,1,1,5,16200
28,1,1,5,16700
39,1,1,15,27200
25,1,1,2,13700
28,1,1,7,17700
33,2,1,6,19800
27,1,1,1,14200
26,1,1,4,15200
48,1,1,26,37200
47,1,1,25,36200
59,1,1,12,35700
35,1,1,1,18200
41,3,1,10,25900
24,1,1,3,13700
42,2,1,3,22800
38,1,1,15,26700
24,2,1,2,13300
26,1,1,5,15700
27,1,1,6,16700
30,2,1,10,20300
27,2,0.5,0,13750
37,2,1,11,24300
32,2,1,10,21300
29,3,1,3,16400
27,1,1,4,15700
47,3,1,23,35400
36,1,1,16,26200
33,1,1,9,21200
22,1,1,2,12200
34,2,1,8,21300
25,1,1,8,16700
38,1,1,20,29200
35,2,1,15,25300
37,1,1,7,22200
23,1,1,2,12700
33,1,1,3,18200
27,1,1,4,15700
36,2,1,14,25300
31,1,1,6,18700
30,1,1,8,19200
35,1,1,3,19200
34,1,1,10,22200
26,2,1,1,13800
36,1,1,12,24200
33,1,1,10,21700
32,1,1,10,21200
33,2,1,5,19300
37,1,1,16,26700
27,2,0.5,0,13750
32,2,1,11,21800
24,2,1,11,17800
35,2,1,9,22300
31,1,0,0,15600
31,1,1,4,17700
33,1,1,10,21700
30,3,1,3,16900
31,1,1,4,17700
34,1,1,12,23200
25,1,1,3,14200
28,1,1,5,16700
51,1,1,13,32200
53,1,1,26,39700
36,1,1,6,21200
27,1,1,5,16200
28,1,1,6,17200
47,1,1,25,36200
28,2,1,6,17300
28,1,1,7,17700
33,2,1,5,19300
27,1,1,5,16200
38,2,1,17,27800
31,1,1,7,19200
45,1,1,25,35200
27,1,1,3,15200
31,2,1,7,19300
35,2,0.5,0,17750
38,1,1,18,28200
38,1,1,15,26700
24,2,1,2,13300
27,1,1,8,17700
27,1,1,6,16700
26,1,1,7,16700
30,1,1,9,19700
35,2,1,11,23300
27,1,1,7,17200
29,1,1,4,16700
24,1,1,3,13700
24,1,1,4,14200
39,1,1,19,29200
35,2,1,0,17800
25,2,1,5,15300
31,2,1,6,18800
25,2,1,4,14800
56,2,1,35,45800
22,1,1,4,13200
57,1,1,33,45200
25,1,1,6,15700
28,1,1,7,17700
22,1,0.5,0,11150
34,2,1,13,23800
23,1,1,2,12700
30,1,1,3,16700
31,2,1,5,18300
25,2,0.5,0,12750
35,2,1,10,22800
26,2,1,4,15300
34,1,1,11,22700
23,1,1,0,11700
38,1,1,10,24200
33,1,1,10,21700
57,2,1,0,28800
29,1,1,2,15700
36,1,1,7,21700
34,1,1,8,21200
35,1,1,2,18700
26,1,1,5,15700
24,1,1,2,13200
45,2,1,20,32800
42,1,1,21,31700
28,2,1,4,16300
27,2,1,3,15300
42,1,1,15,28700
32,1,1,7,19700
37,2,1,15,26300
29,2,1,6,17800
28,2,1,7,17800
50,1,1,28,39200
39,1,1,13,26200
35,2,1,21,28300
29,2,1,4,16800
48,2,1,20,34300
25,1,1,3,14200
40,2,1,10,25300
32,1,1,7,19700
41,2,1,19,30300
37,2,1,16,26800
25,1,1,3,14200
31,1,1,8,19700
23,1,1,1,12200
32,1,1,12,22200
39,3,1,16,27900
24,1,1,5,14700
32,2,1,7,19800
23,1,1,4,13700
28,2,1,2,15300
28,2,0.5,0,14250
72,1,0,0,36100
30,2,1,1,15800
24,2,0.5,0,12250
45,2,1,21,33300
22,1,1,0,11200
25,1,1,4,14700
35,2,1,10,22800
38,2,1,16,27300
51,2,1,26,38800
26,1,1,3,14700
29,2,1,8,18800
48,3,1,6,27400
52,2,1,22,37300
27,1,1,4,15700
23,2,0.5,0,11750
32,2,1,0,16300
23,1,1,4,13700
30,1,1,7,18700
33,1,1,7,20200
26,1,1,5,15700
31,2,0.5,0,15750
38,1,1,13,25700
26.8,1,1,7,17100
26,1,1,5,15700
22,1,0,0,11100
29,1,1,13,21200
29,1,1,8,18700
24,1,1,3,13700
41,1,1,15,28200
38,1,1,12,25200
27,1,1,2,14700
29,1,1,5,17200
46,2,1,18,32300
32,1,1,7,19700
64,1,1,40,52200
30,1,1,4,17200
45,1,1,23,34200
30,1,1,8,19200
41,2,1,15,28300
33,1,1,8,20700
26,1,1,4,15200
40,1,1,22,31200
27,1,1,2,14700
31,2,1,3,17300
30,1,1,8,19200
34,1,1,13,23700
34,1,1,3,18700
51,1,1,20,35700
32,1,1,5,18700
41,2,1,20,30800
31,1,1,3,17200
72,1,1,30,51200
43,3,1,20,31900
47,2,0,0,23700
47,1,1,20,33700
31,2,1,7,19300
47,1,1,24,35700
44,1,0,0,22100
38,1,1,6,22200
30,1,1,7,18700
53,2,1,22,37800
32,1,1,10,21200
27,1,1,6,16700
28,1,1,7,17700
48,1,1,20,34200
26,1,1,6,16200
25,1,0,0,12600
38,2,1,6,22300
38,2,1,16,27300
33,1,1,8,20700
29,2,1,2,15800
37,1,1,5,21200
27,2,1,4,15800
27,1,1,8,17700
34,2,1,1,17800
36,1,1,10,23200
39,1,1,19,29200
37,1,1,15,26200
54,2,1,18,36300
56,1,1,33,44700
50,1,1,20,35200
42,1,1,14,28200
25,1,1,4,14700
31,2,1,8,19800
24,1,1,5,14700
23,2,1,6,14800
20,1,0,0,10100
34,1,1,10,22200
43,2,1,20,31800
41,2,1,5,23300
38,1,1,15,26700
30,1,1,1,15700
23,1,1,2,12700
46,2,1,26,36300
28,1,1,5,16700
29,1,1,4,16700
31,1,1,8,19700
27,1,1,5,16200
31,1,1,8,19700
21,1,0.5,0,10650
23,1,1,2,12700
34,1,1,6,20200
26,1,1,8,17200
41,2,1,20,30800
35,1,1,10,22700
21,1,1,2,11700
25,1,1,2,13700
23,1,1,1,12200
39,1,1,15,27200
31,1,1,9,20200
30,1,1,6,18200
28,2,1,6,17300
34,2,1,11,22800
26,1,1,4,15200
36,2,1,1,18800
23,1,1,3,13200
41,1,1,16,28700
35,1,1,12,23700
27,1,0.5,0,13650
36,2,1,10,23300
34,2,1,2,18300
26,2,1,5,15800
24,1,1,2,13200
26,1,0.5,0,13150
40,1,1,19,29700
32,2,1,9,20800
37,3,1,11,24400
31,1,1,9,20200
31,1,1,6,18700
63,1,1,30,46700
58,2,1,34,46300
31,1,1,6,18700
26,1,1,7,16700
45,1,1,22,33700
30,1,1,8,19200
42,1,1,20,31200
25,1,1,3,14200
60,1,1,40,50200
32,1,1,10,21200
34,1,1,12,23200
28,1,1,5,16700
40,2,1,8,24300
24,2,1,3,13800
22,1,1,5,13700
67,2,0,0,33700
38,2,1,8,23300
28,3,0.5,0,14350
52,1,1,30,41200
37,3,1,1,19400
30,1,1,3,16700
26,1,1,4,15200
36,2,0.5,0,18250
31,1,1,8,19700
41,1,1,21,31200
33,2,1,4,18800
33,1,1,3,18200
25,1,1,6,15700
27,1,1,5,16200
25,1,1,2,13700
29,1,1,5,17200
33,2,1,18,25800
31,1,1,6,18700
37,3,1,10,23900
35,1,1,12,23700
35,2,1,5,20300
32,1,1,2,17200
25,1,1,7,16200
30,1,1,7,18700
37,1,1,14,25700
22,1,0.5,0,11150
24,1,1,3,13700
45,1,1,20,32700
35,3,1,19,27400
32,3,1,17,24900
23,1,0,0,11600
39,1,1,12,25700
24,2,1,8,16300
36,1,1,5,20700
29,2,1,5,17300
26,1,1,3,14700
31,1,1,6,18700
27,2,0,0,13700
26,1,1,5,15700
26,1,1,5,15700
33,1,1,11,22200
40,2,1,19,29800
63,1,1,35,49200
25,1,1,3,14200
25,1,1,4,14700
25,2,1,3,14300
29,1,1,14,21700
39,2,1,7,23300
31,2,1,10,20800
22,1,1,1,11700
31,3,1,3,17400
53,1,1,30,41700
51,1,1,32,41700
42,2,1,20,31300
24,1,1,2,13200
36,3,1,8,22400
41,1,1,3,22200
50,1,1,0,25200
35,1,1,15,25200
28,1,1,3,15700
26,1,1,5,15700
21,1,0.5,0,10650
36,2,1,18,27300
36,3,1,7,21900
27,1,1,5,16200
42,1,0,0,21100
45,1,1,25,35200
20,1,0.5,0,10150
32,1,1,7,19700
33,2,1,10,21800
29,2,1,10,19800
34,2,1,8,21300
31,2,1,6,18800
37,1,1,5,21200
24,1,1,8,16200
25,2,1,4,14800
25,1,1,3,14200
24,1,1,1,12700
43,2,1,19,31300
31,1,1,8,19700
28,1,1,4,16200
25,1,1,3,14200
35,1,1,12,23700
28,1,1,7,17700
26,1,1,3,14700
30,2,0.5,0,15250
33,1,1,12,22700
36,3,1,5,20900
35,2,1,12,23800
25,2,1,3,14300
38,2,1,15,26800
31,1,1,12,21700
35,1,1,2,18700
41,2,1,15,28300
50,1,1,15,32700
29,2,1,9,19300
30,2,1,12,21300
66,2,0,0,33200
26,1,1,2,14200
25,2,1,2,13800
24,1,1,3,13700
29,1,1,8,18700
50,2,1,25,37800
24,1,1,3,13700
24,1,1,2,13200
28,2,1,3,15800
24,1,1,3,13700
29,1,1,1,15200
33,1,1,10,21700
33,1,1,8,20700
40,3,1,15,27900
22,1,1,1,11700
32,1,1,10,21200
52,1,1,25,38700
51,1,0,0,25600
30,2,1,4,17300
40,2,1,19,29800
38,1,1,10,24200
32,2,1,11,21800
34,3,1,0,17400
25,1,1,2,13700
33,1,1,8,20700
31,2,1,3,17300
23,1,1,2,12700
28,1,1,6,17200
33,1,1,9,21200
36,2,0,0,18200
24,1,1,1,12700
31,1,1,7,19200
34,1,1,10,22200
30,1,1,7,18700
33,1,1,10,21700
36,2,1,15,25800
84,3,1,50,67400
26,1,1,3,14700
49,3,1,38,43900
35,2,1,15,25300
31,2,0.5,0,15750
44,1,1,13,28700
27,1,1,5,16200
34,1,1,8,21200
24,1,1,3,13700
31,1,1,0,15700
23,2,0.5,0,11750
28,1,1,5,16700
38,1,1,15,26700
38,1,1,14,26200
26,1,1,2,14200
28,1,1,3,15700
26,1,0,0,13100
22,1,0.5,0,11150
24,2,1,5,14800
27,2,1,9,18300
28,1,1,6,17200
29,1,1,10,19700
29,1,1,6,17700
20,1,0.5,0,10150
36,1,1,14,25200
35,1,1,14,24700
26,1,1,3,14700
29,1,1,3,16200
33,1,1,9,21200
27,1,1,6,16700
35,1,1,8,21700
26,1,1,2,14200
26,1,1,0,13200
28,1,1,5,16700
29,1,1,9,19200
24,1,1,3,13700
25,1,1,2,13700
40,2,1,12,26300
30,1,1,7,18700
29,2,0,0,14700
42,3,0,0,21300
41,1,1,12,26700
39,1,1,0,19700
44,1,1,22,33200
39,2,1,12,25800
45,1,1,20,32700
50,2,1,28,39300
46,1,1,22,34200
27,1,1,6,16700
30,2,1,9,19800
60,1,1,30,45200
27,2,1,5,16300
33,2,1,10,21800
38,1,1,14,26200
21,1,1,5,13200
36,1,1,13,24700
26,1,1,4,15200
35,3,0.5,0,17850
33,2,1,9,21300
28,1,1,6,17200
43,2,1,17,30300
53,2,1,30,41800
37,2,1,15,26300
28,1,1,8,18200
36,1,1,13,24700
28,2,1,5,16800
40,1,1,17,28700
39,1,1,15,27200
34,2,0.5,0,17250
27,1,1,2,14700
40,1,1,16,28200
27,1,0,0,13600
28,1,1,6,17200
34,1,1,14,24200
42,1,1,20,31200
33,1,1,6,19700
20,1,0.5,0,10150
32,1,1,2,17200
29,1,1,2,15700
33,1,1,10,21700
25,1,1,2,13700
29,2,1,5,17300
50,1,1,22,36200
40,2,1,20,30300
33,2,1,7,20300
32,2,1,7,19800
31,1,1,4,17700
36,2,1,5,20800
22,1,1,0,11200
20,1,1,2,11200
35,1,1,0,17700
28,1,1,8,18200
26,2,1,5,15800
28,1,0,0,14100
37,2,1,15,26300
23,1,1,2,12700
30,1,1,12,21200
30,1,1,8,19200
38,2,1,18,28300
33,1,1,12,22700
25,1,1,1,13200
38,1,1,16,27200
40,2,1,20,30300
23,2,0.5,0,11750
24,1,1,2,13200
35,1,1,11,23200
50,1,1,30,40200
28,1,1,4,16200
50,1,0,0,25100
24,1,1,2,13200
46,1,1,20,33200
31,1,1,9,20200
36,2,1,14,25300
34,2,1,10,22300
47,1,1,23,35200
24,1,1,1,12700
53,1,1,31,42200
24,1,1,4,14200
24,1,1,1,12700
27,1,1,0,13700
33,1,1,10,21700
49,1,1,20,34700
23,1,1,4,13700
22,1,1,2,12200
36,2,1,13,24800
50,3,1,32,41400
32,1,1,12,22200
23,1,0,0,11600
31,1,1,8,19700
28,1,1,9,18700
24,2,1,3,13800
25,2,0.5,0,12750
38,2,1,9,23800
45,1,1,20,32700
25,1,1,3,14200
25,1,1,4,14700
43,2,1,21,32300
28,1,1,4,16200
27,1,1,6,16700
29,3,1,2,15900
56,1,1,37,46700
64,2,1,41,52800
37,2,1,16,26800
36,1,1,12,24200
53,2,1,35,44300
31,2,1,3,17300
26,2,1,2,14300
34,1,1,12,23200
38,1,1,16,27200
26,1,1,0,13200
24,1,1,4,14200
30,2,1,5,17800
29,1,1,6,17700
25,1,1,5,15200
29,1,1,6,17700
38,3,1,10,24400
47,2,1,20,33800
27,1,1,3,15200
31,2,1,7,19300
56,1,1,31,43700
63,3,1,45,54400
55,1,1,40,47700
33,2,1,10,21800
38,2,1,18,28300
34,2,1,13,23800
28,1,1,6,17200
26,1,1,4,15200
36,2,1,10,23300
27,2,1,5,16300
29,1,1,5,17200
33,1,1,6,19700
54,1,1,36,45200
49,2,1,22,35800
54,3,1,18,36400
27,2,1,5,16300
52,1,1,23,37700
34,1,1,7,20700
34,1,1,9,21700
33,1,1,8,20700
51,2,1,18,34800
50,2,1,30,40300
37,1,1,0,18700
33,2,1,8,20800
21,1,1,2,11700
65,1,1,39,52200
36,2,1,11,23800
30,1,1,5,17700
32,2,1,9,20800
42,1,1,21,31700
27,1,1,5,16200
39,2,1,5,22300
23,2,0,0,11700
33,1,1,13,23200
23,1,0.5,0,11650
25,1,1,3,14200
41,2,1,11,26300
22,1,1,0,11200
35,3,1,9,22400
26,1,1,3,14700
34,1,1,0,17200
59,2,1,39,49300
53,2,1,23,38300
35,3,1,6,20900
23,1,1,2,12700
32,3,1,4,18400
27,2,1,2,14800
38,1,1,20,29200
52,1,0,0,26100
31,2,1,3,17300
28,1,1,10,19200
40,1,0,0,20100
35,1,1,3,19200
41,2,1,13,27300
38,1,1,6,22200
31,2,1,12,21800
31,2,1,7,19300
33,1,1,7,20200
25,1,1,3,14200
27,1,1,5,16200
32,2,1,8,20300
54,1,1,30,42200
30,1,1,6,18200
25,2,1,1,13300
29,1,1,10,19700
29,2,1,5,17300
54,2,1,35,44800
56,2,1,25,40800
73,2,1,47,60300
28,2,1,4,16300
37,1,1,4,20700
34,3,1,6,20400
33,2,1,5,19300
27,1,1,6,16700
30,1,1,7,18700
32,1,1,0,16200
39,1,1,14,26700
39,1,1,14,26700
27,2,1,5,16300
22,1,1,2,12200
28,1,1,6,17200
25,1,1,3,14200
33,1,1,10,21700
45,1,1,22,33700
40,1,0,0,20100
25,2,1,3,14300
33,2,1,5,19300
21,1,0.5,0,10650
33,1,1,12,22700
59,1,1,36,47700
24,2,0.5,0,12250
52,2,1,28,40300
38,2,1,18,28300
25,1,1,6,15700
35,2,1,12,23800
27,2,1,3,15300
34,1,1,12,23200
34,1,1,10,22200
27,1,1,3,15200
24,1,1,3,13700
30,1,1,6,18200
34,1,1,12,23200
26,1,1,5,15700
40,1,1,20,30200
29,1,1,7,18200
28,1,1,3,15700
24,1,1,6,15200
25,1,1,4,14700
40,1,1,17,28700
34,2,1,13,23800
41,3,1,3,22400
30,2,1,6,18300
25,1,1,3,14200
23,1,1,1,12200
28,1,1,6,17200
27,1,1,4,15700
32,1,1,0,16200
34,1,1,7,20700
24,3,1,4,14400
50,2,1,24,37300
25,1,1,4,14700
50,2,1,7,28800
37,1,1,15,26200
33,2,1,9,21300
49,2,1,25,37300
27,1,1,4,15700
26,1,0.5,0,13150
35,1,1,15,25200
50,2,1,30,40300
22,1,1,5,13700
27,1,1,4,15700
27,1,1,5,16200
45,1,1,16,30700
20,1,0.5,0,10150
22,1,0.5,0,11150
23,2,1,1,12300
31,1,1,8,19700
26,1,1,8,17200
36,1,1,0,18200
26,1,1,8,17200
28,2,1,6,17300
55,1,1,0,27700
30,1,1,8,19200
28,1,1,5,16700
54,2,0.5,0,27250
36,3,1,15,25900
26,1,0,0,13100
39,1,1,12,25700
26,2,1,7,16800
23,1,0.5,0,11650
47,1,1,32,39700
47,1,1,19,33200
28,2,1,3,15800
36,3,1,1,18900
47,1,1,23,35200
28,1,1,8,18200
28,2,1,5,16800
26,1,1,5,15700
28,1,0,0,14100
27,1,1,4,15700
22,1,1,1,11700
31,1,1,10,20700
41,1,1,13,27200
24,1,1,6,15200
27,1,1,8,17700
34,2,1,16,25300
40,1,1,16,28200
64,2,1,23,43800
27,1,1,5,16200
27,1,1,4,15700
25,1,1,1,13200
26,1,1,2,14200
